product_code,product_name,brand_name,category_name,size_type,color_group,price_range,sale_price,available_size_text,final_score
TNPA6E106N2,Lot.872 Straight-Fit Denim Pants (Raw Indigo),티엔지티,팬츠,bottom,네이비,10만원 이하,75050,"30,32,34,36",4868.5
TNPA6E106BK,Lot.872 Straight-Fit Denim Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,75050,"30,32,34,36",4844.0
TNJA5F107N2,FrayBoy Wool Blended Gold Button Blazer (Navy),티엔지티,자켓,top,네이비,10만~50만원,150480,"95,100,105",4612.0
TNPA5F001BK,Flap Wide Slacks (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,56880,"34,36",4542.5
TNPA6E101BK,Essential Semi-Wide Fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,65550,"30,32,34,36",4426.5
TNPA5F106BK,Slit Flared-fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,60430,"32,34,36",3960.5
TNPA5F105BK,Cotton Wide-fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,56880,"30,32,34,36",3940.0
TNPA5E204N2,Hard Twist Sports Set-Up Pants (Navy),티엔지티,팬츠,bottom,네이비,10만원 이하,43470,"30,32,34,36",3713.5
TNJA4F101BK,블랙 오버핏 노치드 싱글 트윌 셋업 자켓,티엔지티,자켓,top,블랙,10만원 이하,69970,"95,105,110",3660.5
TNPA6E105BK,Pin-Stripe Wide Straight-Fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,75050,"30,32,34,36",3588.5
TNJA5E201N2,Hard Twist Sports Set-Up Jacket (Navy),티엔지티,자켓,top,네이비,10만원 이하,87570,"95,100,105,110",3576.0
ARJA5B312BK,블랙《Woolly Sucker》셋업 자켓,알레그리,자켓,top,블랙,10만~50만원,442890,"90,95,100,105,110",3536.0
ARPA5B312BK,블랙《Woolly Sucker》셋업 팬츠,알레그리,팬츠,bottom,블랙,10만~50만원,214200,"34,36",3532.0
ARPA5B215BK,블랙《ElaCool》슬림핏 슬랙스,알레그리,팬츠,bottom,블랙,10만~50만원,233410,"30,32,34,36,38",3527.5
ARPA5B215N3,다크 네이비《ElaCool》슬림핏 슬랙스,알레그리,팬츠,bottom,네이비,10만~50만원,233410,"30,32",3513.5
TNJA5E101BK,Comfort Cotton Set-Up Jacket (Black),티엔지티,자켓,top,블랙,10만~50만원,100170,"95,100,105,110",3508.5
TNPA5E105BK,Cotton Wide Cargo Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,62370,"30,32,34,36",3154.0
TNPA6E100BK,High Wool Blended Comfort Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,84550,"29,30,32,34,36,38",2983.5
TNPA6E100N2,High Wool Blended Comfort Pants (Navy),티엔지티,팬츠,bottom,네이비,10만원 이하,84550,"29,30,32,34,36,38",2973.0
ARPA5B213BK,블랙《DryCool》슬림핏 슬랙스,알레그리,팬츠,bottom,블랙,10만~50만원,203490,"30,32,36,38",2945.5
TNJA6E100BK,High Wool Blended Comfort Jacket (Black),티엔지티,자켓,top,블랙,10만~50만원,161100,"95,100,105,110",2885.5
TNJA6E100N2,High Wool Blended Comfort Jacket (Navy),티엔지티,자켓,top,네이비,10만~50만원,161100,"95,100,105,110",2878.5
ARPA5C304BK,블랙《Bouncy》[Slim Fit] 슬랙스,알레그리,팬츠,bottom,블랙,10만~50만원,370500,"30,32,34,36,38",2864.5
ARPA5C304N3,다크네이비《Bouncy》[Slim Fit] 슬랙스,알레그리,팬츠,bottom,네이비,10만~50만원,370500,"34,36,38",2840.0
ARPA5A841BK,블랙 레귤러 스트레이트 핏 데님 팬츠,알레그리,팬츠,bottom,블랙,10만~50만원,228150,"30,34,36",2556.0
TNPA5E207BK,Belted Wide Shorts (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,40950,"32,34,36",2554.0
ARPA5A852BK,블랙 스트레이트 핏 데님 팬츠,알레그리,팬츠,bottom,블랙,10만~50만원,228150,"30,32,34,36,38",2466.0
TNJA6E104BK,Pin-Stripe Structure Single Jacket (Black),티엔지티,자켓,top,블랙,10만~50만원,160550,"85,95,100,105,110",2398.0
TNJA6E109BK,Wool Blended Comfort Jacket (Black),티엔지티,자켓,top,블랙,10만~50만원,143100,"95,100,105,110",1691.0
TNJA5F106BK,Denim-like Jacket (Black Indigo),티엔지티,자켓,top,블랙,10만~50만원,136930,"95,100,105",1677.0
